CID;LAC;BCH;Localization;GPS
10914;8050;823;Brno - Slatina, Øípská 1125/9 (x Tuøanka), budova Celního úøadu, ex 1264x;49°10'21.17"N,16°40'58.28"E
10915;8050;825;Brno - Slatina, Øípská 1125/9 (x Tuøanka), budova Celního úøadu, ex 1264x;49°10'21.17"N,16°40'58.28"E
10916;8050;778;Brno - Slatina, Øípská 1125/9 (x Tuøanka), budova Celního úøadu, ex 1264x;49°10'21.17"N,16°40'58.28"E
10917;8050;816;Brno - Novı Lískovec, Rybnická 91/23, rodinnı dùm, ex 1387x;49°11'01.46"N,16°33'50.70"E
10918;8050;789;Brno - Novı Lískovec, Rybnická 91/23, rodinnı dùm, ex 1387x;49°11'01.46"N,16°33'50.70"E
10924;8040;815;Brno - idenice, Šámalova 1130/62, budova v areálu MEZ Brno, ex 1398x (+TMO,+O2);49°11'54.68"N,16°38'06.78"E
10925;8040;824;Brno - idenice, Šámalova 1130/62, budova v areálu MEZ Brno, ex 1398x (+TMO,+O2);49°11'54.68"N,16°38'06.78"E
10926;8040;793;Brno - idenice, Šámalova 1130/62, budova v areálu MEZ Brno, ex 1398x (+TMO,+O2);49°11'54.68"N,16°38'06.78"E
10927;8030;818;Brno - Husovice, Sobìšická 1262/100, bytovı dùm, ex 1282x (+GSM);49°13'09.48"N,16°38'04.58"E
10928;8030;797;Brno - Husovice, Sobìšická 1262/100, bytovı dùm, ex 1282x (+GSM);49°13'09.48"N,16°38'04.58"E
10934;8030;6;Brno - Husovice, Sobìšická 1262/100, bytovı dùm, ex 1282x (+DCS);49°13'09.48"N,16°38'04.58"E
10935;8030;3;Brno - Husovice, Sobìšická 1262/100, bytovı dùm, ex 1282x (+DCS);49°13'09.48"N,16°38'04.58"E
10937;8030;825;Brno - Královo Pole, Technická 2935/23, Listova budova, ex 3365x;49°13'32.94"N,16°34'37.14"E
10938;8030;777;Brno - Královo Pole, Technická 2935/23, Listova budova, ex 3365x;49°13'32.94"N,16°34'37.14"E
10944;8030;784;Brno - Lesná, Okruní 871/3a, betonovı stoár u kruh. objezdu, ex 1255x;49°13'15.44"N,16°37'38.99"E
10945;8030;823;Brno - Lesná, Okruní 871/3a, betonovı stoár u kruh. objezdu, ex 1255x;49°13'15.44"N,16°37'38.99"E
10946;8030;814;Brno - Lesná, Okruní 871/3a, betonovı stoár u kruh. objezdu, ex 1255x;49°13'15.44"N,16°37'38.99"E
10947;8030;15;Brno - Lesná, Okruní 871/3a, betonovı stoár u kruh. objezdu, ex 1255x;49°13'15.44"N,16°37'38.99"E
10948;8030;8;Brno - Lesná, Okruní 871/3a, betonovı stoár u kruh. objezdu, ex 1255x;49°13'15.44"N,16°37'38.99"E
10949;8030;17;Brno - Lesná, Okruní 871/3a, betonovı stoár u kruh. objezdu, ex 1255x;49°13'15.44"N,16°37'38.99"E
10954;8040;824;Brno - Komárov, Schwaigrova 664/27, panelák, ex 1101x;49°10'39.34"N,16°37'25.69"E
10955;8040;780;Brno - Komárov, Schwaigrova 664/27, panelák, ex 1101x;49°10'39.34"N,16°37'25.69"E
10956;8040;785;Brno - Komárov, Schwaigrova 664/27, panelák, ex 1101x;49°10'39.34"N,16°37'25.69"E
10957;8040;3;Brno - Komárov, Schwaigrova 664/27, panelák, ex 1101x;49°10'39.34"N,16°37'25.69"E
10958;8040;13;Brno - Komárov, Schwaigrova 664/27, panelák, ex 1101x;49°10'39.34"N,16°37'25.69"E
10959;8040;20;Brno - Komárov, Schwaigrova 664/27, panelák, ex 1101x;49°10'39.34"N,16°37'25.69"E
10964;8050;822;Brno - Brnìnské Ivanovice, Sladovnická 20/6, komín, ex 1180x;49°09'08.76"N,16°39'07.25"E
10965;8050;813;Brno - Brnìnské Ivanovice, Sladovnická 20/6, komín, ex 1180x;49°09'08.76"N,16°39'07.25"E
10966;8050;825;Brno - Brnìnské Ivanovice, Sladovnická 20/6, komín, ex 1180x;49°09'08.76"N,16°39'07.25"E
10967;8030;785;Brno - idenice, Slívova 1-7, bytovı dùm, ex 1253x (+GSM);49°12'24.69"N,16°38'26.23"E
10968;8030;780;Brno - idenice, Slívova 1-7, bytovı dùm, ex 1253x (+GSM);49°12'24.69"N,16°38'26.23"E
10969;8030;790;Brno - idenice, Slívova 1-7, bytovı dùm, ex 1253x (+GSM);49°12'24.69"N,16°38'26.23"E
10974;8030;2;Brno - idenice, Slívova 1-7, bytovı dùm, ex 1253x (+DCS);49°12'24.69"N,16°38'26.23"E
10975;8030;16;Brno - idenice, Slívova 1-7, bytovı dùm, ex 1253x (+DCS);49°12'24.69"N,16°38'26.23"E
10976;8030;6;Brno - idenice, Slívova 1-7, bytovı dùm, ex 1253x (+DCS);49°12'24.69"N,16°38'26.23"E
10977;8030;825;Brno - Královo Pole, Slovanské nám. 1804/7, Gymnázium, ex 1281x (+TMO);49°13'21.39"N,16°35'28.78"E
10978;8030;791;Brno - Královo Pole, Slovanské nám. 1804/7, Gymnázium, ex 1281x (+TMO);49°13'21.39"N,16°35'28.78"E
10979;8030;776;Brno - Královo Pole, Slovanské nám. 1804/7, Gymnázium, ex 1281x (+TMO);49°13'21.39"N,16°35'28.78"E
10984;8030;778;Brno - idenice, Šaumannova 2000/18, panelák, ex 1354x;49°12'08.61"N,16°38'46.26"E
10985;8030;817;Brno - idenice, Šaumannova 2000/18, panelák, ex 1354x;49°12'08.61"N,16°38'46.26"E
10987;8050;8;Brno - Sobìšice, Útìchovská 68, vì na sušení hadic, ex 1187x;49°15'09.63"N,16°37'14.73"E
10988;8050;12;Brno - Sobìšice, Útìchovská 68, vì na sušení hadic, ex 1187x;49°15'09.63"N,16°37'14.73"E
10989;8050;6;Brno - Sobìšice, Útìchovská 68, vì na sušení hadic, ex 1187x;49°15'09.63"N,16°37'14.73"E
10994;8050;826;Brno - Horní Heršpice, Sokolova 34, budova SK Gai BOX, ex 1224x;49°09'55.37"N,16°36'47.88"E
10995;8050;821;Brno - Horní Heršpice, Sokolova 34, budova SK Gai BOX, ex 1224x;49°09'55.37"N,16°36'47.88"E
10996;8050;824;Brno - Horní Heršpice, Sokolova 34, budova SK Gai BOX, ex 1224x;49°09'55.37"N,16°36'47.88"E
10997;8040;796;Brno, Èeská 239/23, bytovı dùm, ex 1189x (+GSM);49°11'47.30"N,16°36'19.75"E
10998;8040;783;Brno, Èeská 239/23, bytovı dùm, ex 1189x (+GSM);49°11'47.30"N,16°36'19.75"E
10999;8040;815;Brno, Èeská 239/23, bytovı dùm, ex 1189x (+GSM);49°11'47.30"N,16°36'19.75"E
11004;8040;4;Brno, Èeská 239/23, bytovı dùm, ex 1188x (+DCS);49°11'47.30"N,16°36'19.75"E
11005;8040;9;Brno, Èeská 239/23, bytovı dùm, ex 1188x (+DCS);49°11'47.30"N,16°36'19.75"E
11006;8040;19;Brno, Èeská 239/23, bytovı dùm, ex 1188x (+DCS);49°11'47.30"N,16°36'19.75"E
11007;8030;790;Brno - Jundrov, Sosnová 665/2, ex 1185x (+GSM);49°12'25.37"N,16°33'01.08"E
11008;8030;825;Brno - Jundrov, Sosnová 665/2, ex 1185x (+GSM);49°12'25.37"N,16°33'01.08"E
11009;8030;780;Brno - Jundrov, Sosnová 665/2, ex 1185x (+GSM);49°12'25.37"N,16°33'01.08"E
11014;8030;14;Brno - Jundrov, Sosnová 665/2, ex 1033x (+DCS);49°12'25.37"N,16°33'01.08"E
